llm_action,llm_product,llm_quantity
remove,cheese,6
remove,plate,5
remove,sweater,1
remove,oranges,6
add,milk,3
remove,chocolate,1
remove,jacket,1
remove,chocolate,10
add,hat,10
remove,chocolate,1
remove,bananas,2
remove,knife,3
add,bananas,4
add,cheese,5
remove,cheese,10
add,plate,6
remove,pan,5
remove,blanket,5
remove,bread,0
add,toaster,4
add,hat,1
remove,mug,4
add,pillow,6
remove,toaster,1
remove,toaster,2
remove,apples,1
remove,pillow,6
remove,scarf,5
add,apples,10
remove,water,6
add,shorts,3
remove,toaster,1
add,shorts,4
add,oranges,2
remove,socks,1
add,bread,3
add,mug,5
add,lamp,2
remove,mug,1
remove,bottle,1
add,eggs,1
remove,mug,1
remove,shoes,1
remove,hat,1
remove,water,2
add,cheese,4
remove,toaster,10
remove,apples,5
remove,bread,1
remove,water,1
remove,toaster,10
remove,eggs,1
remove,pillow,1
add,mug,1
add,chocolate,5
remove,scarf,1
add,t-shirt,5
remove,scarf,1
add,eggs,5
remove,cheese,1
remove,toaster,5
add,jeans,2
remove,knife,3
add,water,2
remove,chocolate,1
add,t-shirt,4
remove,bananas,4
remove,blender,1
remove,eggs,10
remove,pillow,1
remove,bread,1
remove,bottle,2
remove,jeans,3
remove,chocolate,10
remove,yogurt,1
add,apples,1
remove,sweater,4
remove,socks,1
remove,eggs,1
remove,milk,5
add,shorts,1
remove,oranges,1
remove,apples,2
add,socks,2
remove,blanket,1
add,milk,4
remove,pan,1
remove,jacket,1
remove,sweater,5
remove,eggs,10
add,yogurt,2
remove,blender,1
add,bananas,10
remove,apples,3
remove,scarf,1
remove,yogurt,2
remove,pillow,1
add,eggs,2
add,plate,1
add,shoes,5
remove,socks,1
remove,socks,4
add,knife,4
add,jacket,10
remove,toaster,1
remove,knife,1
remove,hat,1
add,blanket,1
remove,chocolate,6
remove,shorts,1
remove,lamp,5
remove,plate,1
remove,sweater,1
add,milk,10
add,knife,1
remove,knife,4
remove,bananas,6
remove,socks,5
remove,plate,1
remove,t-shirt,1
add,pan,1
remove,socks,3
add,shoes,3
remove,backpack,2
remove,yogurt,4
add,blanket,10
add,sweater,1
remove,shoes,5
remove,jacket,6
add,sweater,10
remove,pan,1
remove,bread,1
remove,backpack,2
remove,bananas,1
remove,hat,1
remove,eggs,4
remove,hat,6
remove,cheese,1
remove,pan,1
remove,bottle,10
remove,scarf,1
add,water,5
remove,pillow,1
add,knife,3
add,backpack,1
remove,milk,1
remove,yogurt,1
remove,apples,10
add,socks,2
remove,cheese,6
remove,backpack,4
add,pillow,5
remove,knife,1
remove,shorts,1
add,shoes,6
remove,knife,1
add,scarf,2
remove,plate,1
remove,milk,1
add,mug,2
remove,bread,2
remove,apples,4
remove,toaster,1
add,yogurt,1
remove,eggs,3
remove,toaster,5
remove,pillow,6
remove,blender,1
remove,pillow,1
remove,plate,1
add,bottle,1
remove,plate,1
remove,yogurt,10
remove,backpack,1
add,pillow,3
remove,scarf,1
remove,chocolate,0
remove,blender,1
add,lamp,10
remove,blanket,1
remove,eggs,1
add,yogurt,5
remove,oranges,4
add,shorts,1
add,chocolate,6
remove,pillow,6
add,bottle,4
remove,bread,6
remove,cheese,1
add,scarf,5
add,scarf,10
remove,blender,1
remove,oranges,1
remove,milk,5
add,blanket,3
remove,cheese,1
remove,pillow,3
add,water,3
remove,blanket,1
remove,t-shirt,1
remove,pan,1
add,backpacks,2
add,cheese,1
remove,sweater,1
remove,bottle,10
remove,bananas,1
remove,lamp,1
remove,pillow,1
remove,eggs,5
remove,chocolate,4
remove,water,1
add,toaster,6
remove,jacket,3
remove,apples,1
remove,milk,1
remove,toaster,2
remove,knife,5
remove,chocolate,1
remove,scarf,2
remove,yogurt,5
remove,jacket,4
remove,bread,1
add,jeans,4
add,blender,10
remove,lamp,3
add,chocolate,2
remove,toaster,5
remove,bananas,3
remove,blanket,4
remove,mug,1
remove,eggs,6
remove,blender,10
remove,milk,1
remove,bananas,1
remove,oranges,1
remove,socks,1
remove,bananas,1
add,jacket,3
remove,bread,1
add,apples,5
remove,eggs,1
remove,shoes,10
add,pillow,2
remove,pillow,1
remove,blender,1
add,hat,6
remove,shorts,1
remove,hat,4
remove,backpack,1
remove,backpack,4
remove,backpack,1
add,toaster,6
remove,sweater,1
remove,shorts,1
remove,t-shirt,3
remove,oranges,10
remove,oranges,1
remove,eggs,1
remove,shorts,3
add,shoes,1
remove,apples,4
remove,backpack,1
add,bananas,6
add,shorts,1
remove,mug,1
add,yogurt,4
remove,bananas,1
remove,blender,1
add,bottle,6
remove,bottle,1
remove,lamp,1
remove,lamp,1
add,jacket,1
add,sweater,6
remove,cheese,1
remove,milk,6
remove,blanket,1
add,socks,4
remove,bread,1
remove,cheese,3
remove,pan,1
remove,yogurt,1
remove,eggs,4
remove,plate,1
remove,backpack,1
add,shorts,1
remove,pillow,1
add,water,6
remove,milk,1
remove,bread,1
add,pan,3
add,jeans,10
remove,pillow,3
add,plate,3
remove,backpack,1
remove,milk,1
remove,shorts,1
add,hat,3
remove,toaster,1
remove,milk,5
remove,oranges,1
remove,blender,2
remove,hat,1
add,bread,3
remove,pillow,10
remove,lamp,1
add,backpack,2
remove,cheese,1
add,sweater,1
add,mug,1
remove,oranges,4
remove,blender,1
remove,blender,1
remove,cheese,4
remove,eggs,1
remove,blender,1
remove,pillow,1
remove,shorts,1
add,milk,3
add,water,6
remove,backpack,6
add,scarf,1
add,eggs,4
remove,toaster,1
add,backpack,6
remove,bread,4
remove,jeans,1
remove,shorts,5
remove,jeans,1
remove,shorts,10
add,water,4
remove,pillow,4
remove,knife,10
add,blender,6
add,chocolate,4
add,blender,1
remove,sweater,1
remove,bananas,10
add,jeans,10
remove,pillow,1
add,jeans,3
add,yogurt,2
remove,knife,10
remove,apples,4
remove,sweater,3
remove,toaster,3
remove,mug,6
add,bananas,3
remove,chocolate,1
remove,shorts,10
remove,milk,1
remove,socks,1
add,pillow,6
remove,bread,5
remove,bananas,1
add,bananas,3
remove,oranges,0
remove,water,5
add,milk,1
remove,shorts,1
remove,milk,3
add,jacket,2
remove,bananas,1
remove,toaster,1
remove,bread,1
add,milk,3
remove,mug,10
remove,blender,6
add,pan,2
remove,bottles,3
remove,backpack,1
remove,socks,10
add,shorts,2
remove,sweater,1
remove,socks,4
add,eggs,2
remove,water,1
remove,plates,3
remove,sweater,2
remove,knife,1
add,plate,6
add,socks,3
remove,chocolate,1
remove,milk,4
remove,cheese,3
add,jeans,3
remove,jacket,1
remove,oranges,1
remove,blanket,10
remove,sweater,1
remove,eggs,1
add,pillow,3
add,apples,4
remove,blender,6
add,blender,4
remove,blender,1
remove,jeans,10
remove,water,6
remove,apples,10
remove,lamp,1
add,bananas,1
remove,chocolate,1
remove,jacket,3
add,jeans,4
remove,shorts,3
add,backpacks,6
remove,cheese,1
add,apples,1
remove,plate,1
remove,backpack,1
add,pan,5
add,apples,1
remove,jeans,1
remove,scarf,1
remove,sweater,1
remove,cheese,3
remove,blanket,1
remove,bananas,4
add,bottle,3
remove,oranges,1
add,pillow,3
remove,t-shirt,1
remove,backpack,1
add,mug,1
add,milk,6
remove,blanket,10
remove,pan,1
remove,scarf,1
add,blender,1
add,toaster,6
remove,t-shirt,1
remove,apples,1
remove,apples,1
add,chocolate,2
add,pan,4
remove,milk,6
add,hat,3
remove,apples,1
add,t-shirt,3
remove,yogurt,3
add,water,4
remove,bread,1
remove,blender,2
remove,knife,1
add,blender,6
remove,plate,4
remove,cheese,1
remove,sweater,10
remove,t-shirt,2
add,backpack,1
remove,apples,2
remove,blender,10
add,scarf,6
remove,yogurt,10
remove,hat,4
add,shoes,1
add,cheese,10
add,lamp,4
remove,oranges,1
add,jacket,5
remove,knife,1
add,backpack,2
add,water,6
add,pillow,6
add,jacket,5
add,eggs,1
add,knife,3
remove,chocolate,3
remove,bread,1
remove,shoes,1
remove,blender,1
remove,mug,1
remove,hat,6
remove,scarf,1
add,bread,1
remove,pan,1
add,pan,4
remove,pan,4
remove,apples,6
remove,water,10
add,lamp,6
remove,shorts,1
remove,blender,1
remove,shorts,4
remove,bread,1
remove,blanket,1
remove,backpack,1
remove,blender,10
remove,blender,6
remove,blanket,1
remove,chocolate,1
remove,knife,1
remove,pan,6
remove,shorts,4
remove,socks,1
remove,hat,1
remove,hat,6
add,t-shirt,3
add,pillow,3
remove,bottle,1
remove,shorts,3
remove,cheese,5
add,knife,1
remove,eggs,2
remove,hat,10
remove,milk,6
remove,scarf,2
remove,bananas,2
add,backpack,4
remove,blanket,1
add,sweater,3
add,knife,2
remove,jeans,2
remove,blender,5
add,knife,5
remove,t-shirt,1
add,t-shirt,6
remove,plate,4
add,scarf,10
add,mug,1
remove,apples,5
remove,blanket,1
remove,backpack,1
add,toaster,4
add,pillow,4
add,t-shirt,10
remove,bottle,1
remove,blender,1
remove,apples,1
remove,mug,10
add,cheese,1
add,bread,4
remove,chocolate,6
remove,sweater,1
remove,toaster,10
remove,bottle,6
add,backpacks,3
remove,oranges,4
remove,sweater,1
add,knife,5
add,bottle,2
remove,pan,1
remove,bottle,1
add,blender,3
remove,shoes,6
remove,milk,1
remove,knife,5
remove,oranges,1
remove,shoes,1
remove,shorts,10
remove,knife,1
remove,shoes,1
remove,jeans,1
remove,blender,1
remove,blender,1
remove,pillow,3
remove,shoes,1
remove,eggs,4
remove,water,6
add,bottle,1
remove,socks,1
remove,jeans,1
add,blender,3
remove,toaster,1
remove,bananas,1
remove,cheese,1
remove,apples,1
remove,plate,4
remove,backpack,1
remove,shorts,1
remove,socks,1
remove,blender,1
add,hat,6
add,t-shirt,1
add,oranges,3
remove,shoes,3
remove,socks,1
remove,toaster,1
remove,water,1
remove,scarf,1
add,yogurt,4
remove,scarf,4
remove,t-shirt,1
add,toaster,5
add,pillow,1
remove,t-shirt,6
remove,toaster,10
add,shorts,3
remove,mug,1
remove,lamp,1
remove,backpack,10
remove,jeans,5
add,socks,5
remove,t-shirt,2
remove,shoes,1
remove,scarf,1
remove,socks,1
remove,pillow,3
remove,jacket,4
add,chocolate,1
remove,cheese,1
add,knife,6
add,jeans,3
add,oranges,3
add,sweater,5
remove,eggs,3
remove,scarf,2
remove,sweater,4
remove,blanket,5
add,shoes,6
remove,hat,1
remove,eggs,1
remove,lamp,1
remove,toaster,4
remove,apples,1
add,eggs,2
add,bottle,6
remove,oranges,5
remove,oranges,5
add,jacket,10
remove,sweater,4
remove,jeans,2
add,jacket,10
remove,yogurt,1
remove,bread,1
add,socks,2
remove,eggs,4
remove,pillow,1
remove,water,1
remove,chocolate,5
remove,bottle,1
add,pan,6
add,mug,3
remove,blender,1
remove,socks,1
remove,milk,10
remove,blender,1
add,blanket,2
add,scarf,2
remove,plate,1
remove,mug,10
remove,toaster,1
add,water,2
remove,bananas,1
remove,apples,0
remove,mug,1
remove,blender,10
remove,plate,10
remove,jeans,1
add,pan,1
add,blanket,1
add,backpack,4
remove,knife,10
remove,jacket,1
add,pan,10
remove,pan,2
remove,plate,2
add,jacket,10
add,bottle,4
remove,socks,1
remove,mug,1
add,backpack,2
remove,backpack,1
add,cheese,10
remove,apples,6
add,bottle,6
remove,blanket,1
remove,socks,2
remove,jacket,1
add,pillow,2
add,bananas,3
add,scarf,5
remove,chocolate,5
remove,bread,1
remove,blender,1
remove,bananas,10
remove,socks,5
remove,scarf,2
remove,sweater,1
remove,chocolate,2
add,bottle,1
remove,knife,1
remove,pan,3
remove,mug,1
remove,scarf,10
add,apples,1
remove,socks,3
remove,jacket,1
remove,mug,1
remove,knife,1
remove,toaster,1
remove,blanket,2
add,cheese,1
remove,oranges,1
add,apples,10
remove,apples,5
add,bottle,5
remove,milk,1
remove,chocolate,5
remove,hat,2
remove,lamp,6
add,lamp,2
remove,milk,6
remove,bottle,1
remove,bananas,5
remove,scarf,1
add,water,3
add,pillow,1
remove,pan,10
add,jacket,6
remove,bottle,5
remove,water,1
remove,knife,1
remove,backpacks,1
remove,sweater,1
remove,oranges,1
add,chocolate,10
remove,t-shirt,1
remove,cheese,4
add,mug,1
add,apples,6
remove,backpack,1
remove,knife,1
remove,backpack,6
remove,scarf,1
remove,yogurt,1
remove,bread,10
remove,yogurt,1
remove,apples,6
add,pillow,10
remove,jacket,6
remove,yogurt,6
add,bread,4
remove,t-shirt,2
remove,mug,1
remove,socks,1
add,sweater,4
add,blanket,2
add,toaster,10
remove,bread,1
remove,mug,2
add,cheese,1
remove,yogurt,1
remove,knife,1
add,knife,2
remove,chocolate,6
remove,eggs,10
remove,pillow,1
remove,pan,2
add,blanket,6
remove,shorts,3
add,pillow,4
remove,pan,10
add,backpack,6
add,water,3
add,jeans,5
remove,bottle,3
add,bread,1
remove,bread,1
remove,scarf,1
remove,socks,5
add,water,2
remove,milk,4
remove,toaster,5
add,pillow,5
remove,apples,1
add,hat,1
add,toaster,2
add,water,5
remove,apples,1
remove,knife,1
add,blanket,4
remove,mug,4
add,bottle,4
add,sweater,10
remove,shoes,4
add,hat,1
remove,milk,1
add,jacket,10
add,apples,5
remove,sweater,1
add,sweater,2
add,apples,10
remove,backpack,1
remove,pan,1
remove,socks,1
add,shoes,3
add,blanket,4
remove,jeans,10
remove,bottle,1
remove,sweater,3
add,pillow,6
remove,bread,1
add,blender,5
add,pillow,5
remove,hat,5
remove,blender,4
remove,shoes,0
remove,shoes,5
remove,pan,4
remove,cheese,10
add,oranges,5
remove,plate,1
remove,bananas,1
add,lamp,3
remove,jeans,3
remove,bread,1
add,sweater,4
remove,t-shirt,1
add,knife,2
add,mug,3
remove,pillow,1
add,chocolate,3
add,cheese,6
remove,bottle,1
remove,toaster,6
remove,mug,1
remove,bread,1
remove,hat,1
add,jeans,6
remove,pan,1
add,water,1
remove,blanket,5
remove,jacket,10
remove,lamp,1
remove,t-shirt,6
remove,chocolate,1
add,chocolate,5
remove,mug,1
remove,blender,2
remove,milk,1
remove,backpack,1
add,milk,4
add,shoes,3
remove,t-shirt,1
remove,lamp,1
remove,eggs,3
add,water,4
add,knife,10
add,backpacks,2
add,lamp,6
add,oranges,6
add,jacket,3
remove,sweater,2
add,jacket,6
add,water,6
remove,shorts,4
remove,backpack,1
remove,bread,10
add,milk,6
remove,backpack,1
add,lamp,4
remove,cheese,1
,,0
remove,eggs,3
remove,shoes,1
add,bread,3
add,blanket,2
remove,oranges,1
remove,shorts,1
remove,pillow,1
add,pan,10
remove,yogurt,3
remove,jacket,1
remove,jacket,5
remove,jeans,1
add,pillow,4
remove,oranges,1
remove,jeans,5
remove,shoes,1
remove,cheese,1
remove,knife,1
remove,bananas,0
remove,milk,1
remove,lamp,1
add,cheese,1
remove,shoes,1
remove,backpack,1
add,pan,10
remove,pan,1
remove,oranges,3
remove,oranges,1
add,scarf,5
remove,socks,1
add,backpack,6
remove,mug,1
remove,pan,5
remove,eggs,1
remove,apples,10
remove,milk,1
add,plate,1
add,mug,1
remove,mug,1
add,jacket,1
add,bananas,6
remove,shorts,1
add,bottle,2
add,cheese,3
remove,blanket,1
remove,socks,4
remove,milk,1
add,blanket,5
remove,plate,6
add,blender,6
add,mug,1
remove,scarf,1
add,eggs,1
add,pan,6
add,pan,1
remove,plate,5
add,bread,6
add,knife,3
remove,sweater,1
add,bananas,4
remove,shoes,1
remove,bread,5
remove,toaster,1
add,jacket,5
remove,cheese,3
remove,eggs,4
remove,cheese,1
add,toaster,4
remove,socks,3
remove,plate,2
add,knife,4
remove,lamp,10
remove,blender,6
remove,yogurt,10
add,mug,10
remove,mug,3
remove,bread,2
remove,bottle,1
remove,scarf,1
add,sweater,3
remove,toaster,1
remove,blender,1
remove,sweater,4
remove,bananas,2
remove,blanket,1
remove,plate,1
remove,bottle,10
remove,yogurt,1
add,chocolate,6
remove,chocolate,1
remove,blanket,1
remove,cheese,1
add,apples,3
remove,blanket,4
remove,mug,10
remove,bread,6
remove,eggs,1
remove,apples,1
remove,blanket,1
remove,pan,3
add,shoes,2
add,t-shirt,3
remove,toaster,4
remove,bottle,2
remove,oranges,1
remove,lamp,1
remove,oranges,1
add,pan,2
remove,shoes,1
remove,scarf,1
add,shoes,2
remove,shoes,1
add,mug,6
remove,blender,1
add,socks,4
remove,scarf,1
remove,water,1
add,mug,2
add,backpack,6
add,lamp,6
remove,apples,1
remove,eggs,1
remove,oranges,1
remove,pan,1
remove,socks,5
remove,toaster,1
add,scarf,5
add,bananas,6
remove,sweater,3
remove,blanket,1
add,knife,1
add,blanket,1
remove,blanket,5
remove,knife,4
add,yogurt,5
remove,pillow,2
remove,cheese,1
remove,jacket,5
remove,jacket,1
add,pillow,10
remove,pan,1
remove,plate,3
remove,cheese,2
add,sweater,1
remove,jeans,3
remove,plate,1
