user_input,action,product,quantity
I don’t need 4 plate anymore.,remove,eggs,6
Could you toss 3 bread into the cart?,add,pillow,3
"Nix 1 pan, please.",remove,bananas,2
I'd like to get 1 bottle.,add,jeans,1
Get rid of 2 bottle from my order.,remove,blanket,9
"Grab me 10 mug, please.",add,bread,5
I'd like to get 4 blanket.,add,backpack,3
Pop 6 sweater into my shopping bag.,remove,cheese,-1
"Grab me 5 shoes, please.",remove,cheese,4
"Nix 5 toaster, please.",add,scarf,2
Pop 1 plate into my shopping bag.,remove,bread,3
I need 10 more scarf.,remove,toaster,0
Let’s drop 5 cheese.,add,bananas,6
I don’t need 4 eggs anymore.,remove,mug,10
Can you take out 4 shorts?,add,shorts,5
I'd like to get 1 blanket.,remove,scarf,-1
Let’s drop 1 milk.,remove,mug,2
Throw in 5 chocolate for me.,add,water,5
Let’s add 1 sweater to the basket.,add,jacket,4
Forget about the jacket.,remove,toaster,4
"I changed my mind about those mug, take 1 out.",add,lamp,-2
Let’s drop 5 socks.,remove,mug,6
I'd like to get 6 bottle.,add,pillow,4
I don’t need 6 jacket anymore.,add,bananas,6
Drop the milk completely.,add,bananas,4
Get rid of 1 eggs from my order.,add,t-shirt,5
Pop 3 mug into my shopping bag.,add,eggs,2
Remove 1 yogurt from the basket.,remove,sweater,1
Pop 2 oranges into my shopping bag.,remove,pan,2
"I changed my mind about those socks, take 3 out.",remove,hat,7
"I changed my mind about those shorts, take 1 out.",remove,socks,3
Include 10 scarf with my order.,add,blender,5
Get rid of 10 hat from my order.,add,cheese,4
Let’s drop 6 pillow.,remove,cheese,0
Remove 1 milk from the basket.,remove,cheese,2
Drop the blanket completely.,add,plate,2
I'd like to get 2 mug.,add,eggs,2
Get rid of 4 hat from my order.,remove,toaster,3
Let’s add 1 pan to the basket.,add,lamp,0
Forget about the yogurt.,add,chocolate,4
Can you take out 4 bananas?,remove,pillow,5
I want the bananas gone.,remove,yogurt,4
Get rid of 6 yogurt from my order.,add,bottle,1
"I changed my mind about those chocolate, take 10 out.",add,jeans,4
Include 10 pan with my order.,add,hat,6
Could you toss 6 backpack into the cart?,remove,jacket,1
I'd like to get 3 shorts.,remove,jeans,3
Remove 10 socks from the basket.,add,water,0
Can you take out 10 oranges?,add,hat,4
Let’s add 2 yogurt to the basket.,remove,lamp,3
Scratch the chocolate.,remove,t-shirt,5
Please pull out 1 backpack.,remove,t-shirt,3
Include 1 jacket with my order.,add,jeans,2
Throw in 4 yogurt for me.,add,blender,3
"Grab me 6 toaster, please.",add,blanket,4
I want the mug gone.,add,socks,7
"Grab me 3 knife, please.",remove,blender,5
Include 3 shoes with my order.,remove,scarf,8
"Grab me 4 chocolate, please.",add,bottle,2
Include 1 pillow with my order.,add,mug,4
I'd like to get 10 lamp.,remove,jeans,5
Can you take out 6 apples?,add,cheese,3
"Nix 1 mug, please.",add,pan,5
Drop the chocolate completely.,add,hat,0
"Nix 2 scarf, please.",add,bread,3
Let’s add 10 sweater to the basket.,remove,plate,2
Drop the lamp completely.,add,milk,3
I need 4 more pillow.,add,apples,2
I'd like to get 1 blanket.,add,lamp,-4
Drop the bananas completely.,add,shorts,3
Can you take out 3 chocolate?,add,plate,1
Throw in 3 jeans for me.,remove,apples,5
Get rid of 10 yogurt from my order.,remove,bottle,1
Drop the sweater completely.,add,jeans,2
Can you take out 6 pillow?,remove,milk,3
Please pull out 5 bread.,add,sweater,2
Pop 1 bottle into my shopping bag.,add,jacket,10
Eliminate the lamp from my cart.,remove,mug,-5
"Grab me 5 yogurt, please.",remove,oranges,8
"I changed my mind about those shorts, take 3 out.",add,toaster,0
Please pull out 3 t-shirt.,remove,mug,-2
Scratch the sweater.,remove,eggs,5
Throw in 1 scarf for me.,add,chocolate,2
"Grab me 3 socks, please.",remove,bananas,4
I need 1 more shorts.,add,pillow,3
"I changed my mind about those blanket, take 5 out.",add,yogurt,-1
I don’t need 6 jacket anymore.,remove,milk,3
Scratch the plate.,remove,lamp,1
Could you toss 6 pan into the cart?,remove,jeans,3
Get rid of 10 toaster from my order.,add,jacket,5
Let’s drop 2 plate.,add,pan,2
Please pull out 2 sweater.,add,jacket,3
Let’s add 10 jacket to the basket.,add,backpack,-1
"Grab me 3 t-shirt, please.",remove,socks,8
Cancel the lamp.,add,apples,3
"I changed my mind about those bread, take 10 out.",remove,sweater,3
Let’s add 6 bread to the basket.,remove,bread,0
Throw in 1 hat for me.,add,blender,3
Drop the lamp completely.,remove,plate,8
Can you take out 3 eggs?,remove,jeans,4
I need 4 more socks.,add,pillow,2
Include 4 bananas with my order.,remove,toaster,1
Eliminate the jacket from my cart.,remove,shorts,5
Pop 2 chocolate into my shopping bag.,remove,knife,0
I want the bread gone.,add,chocolate,5
Scratch the backpack.,remove,lamp,4
I need 1 more shorts.,remove,sweater,2
Can you take out 1 t-shirt?,add,eggs,2
Get rid of 3 toaster from my order.,add,blender,5
Pop 6 sweater into my shopping bag.,remove,bread,4
Get rid of 1 water from my order.,remove,bottle,4
Include 2 eggs with my order.,add,jacket,0
I want the bananas gone.,add,jacket,7
"Nix 6 backpack, please.",remove,milk,1
Drop the apples completely.,add,pan,5
I don’t need 5 bread anymore.,add,backpack,7
Could you toss 10 sweater into the cart?,add,bottle,2
Drop the sweater completely.,add,shoes,1
Remove 1 pan from the basket.,remove,jeans,2
Can you take out 1 lamp?,add,yogurt,1
Remove 2 mug from the basket.,add,pan,7
Let’s drop 5 cheese.,add,plate,1
Cancel the plate.,add,shorts,2
I'd like to get 3 oranges.,remove,lamp,4
