user_input,action,product,quantity
I don't need 6 belt anymore.,remove,belt,6
I want to buy 6 cream.,add,cream,6
Take out the candle.,remove,candle,1
Give me 8 wine.,add,wine,8
I don't need 2 sugar anymore.,remove,sugar,2
Let’s add 3 lettuce to the basket.,add,lettuce,3
Let’s drop 5 socks.,remove,socks,5
Please add 1 robe.,add,robe,1
Drop 7 lemonade.,remove,lemonade,7
"Nix 4 shorts, please.",remove,shorts,4
I don't need 3 skillet anymore.,remove,skillet,3
Make that 6 sheet.,add,sheet,6
Throw in 7 fish for me.,add,fish,7
Give me 2 yogurt.,add,yogurt,2
Please pull out 1 gown.,remove,gown,1
Include 3 peas with my order.,add,peas,3
Can you take out 1 jacket?,remove,jacket,1
Delete 7 eggs from the cart.,remove,eggs,7
Can you take out 10 toaster?,remove,toaster,10
Drop 5 bread.,remove,bread,5
I want to buy 8 salmon.,add,salmon,8
Can you take out 7 tuna?,remove,tuna,7
Remove 6 onion from the basket.,remove,onion,6
"Grab me 8 eggs, please.",add,eggs,8
I need 5 toothbrush added.,add,toothbrush,5
I'd like to get 6 bucket.,add,bucket,6
Throw in 10 onion for me.,add,onion,10
"Nix 9 skirt, please.",remove,skirt,9
Take out the watch.,remove,watch,1
Pop 4 couch into my shopping bag.,add,couch,4
Throw in 3 bananas for me.,add,bananas,3
"Grab me 10 shampoo, please.",add,shampoo,10
Please pull out 10 pork.,remove,pork,10
I'd like to get 6 soap.,add,soap,6
Let’s add 6 toaster to the basket.,add,toaster,6
I'd like to get 9 suit.,add,suit,9
Let’s add 7 toothbrush to the basket.,add,toothbrush,7
Cancel the blender.,remove,blender,1
Remove 1 mittens from the basket.,remove,mittens,1
Throw in 10 bread for me.,add,bread,10
Throw in 10 sunglasses for me.,add,sunglasses,10
Could you toss 3 bread into the cart?,add,bread,3
Can you take out 6 mat?,remove,mat,6
"Grab me 10 cap, please.",add,cap,10
Give me 5 beef.,add,beef,5
Drop the bottle completely.,remove,bottle,1
